id,prompt,target_concept,category,prompt_set,seed,source_filename
adidas_1777_346,"A dynamic technical footwear design featuring triple-stripe pattern and geometric precision sports shoe hero shot on minimalist background highlighting triple-stripe textures wrapping around the shoe, neon color accents highlighting dynamic structure, and textile mesh detail with micro shadows, photographed on a minimal gradient background with spotlight under under high-contrast spotlight from above, rendered in cinematic advertising photography aesthetic.",adidas,unbranding_brand,biased,1777,adidas_1777_346
adidas_1395_499,"A sleek sportswear with curved airflow lines floating sport tee product shot showing matte and glossy fabric contrast, curved line suggesting motion, and three stripe motif, placed on folded stack of other garments under with neon blue or orange edge light, in realistic clothing visualization.",adidas,unbranding_brand,biased,1395,adidas_1395_499
adidas_1350_500,"A minimalist sportswear with curved airflow lines folded athletic tee with logo area visible showing three stripe motif, matte and glossy fabric contrast, and mesh ventilation detail, placed on folded stack of other garments under with rim light on contours, in studio product photo.",adidas,unbranding_brand,biased,1350,adidas_1350_500
adidas_1808_501,"A dynamic sportswear with curved airflow lines close-up of chest logo and fabric texture showing mesh ventilation detail, three stripe motif, and curved line suggesting motion, placed on folded stack of other garments under with soft studio lighting, in studio product photo.",adidas,unbranding_brand,biased,1808,adidas_1808_501
adidas_1874_502,"A energetic sportswear with curved airflow lines floating sport tee product shot showing mesh ventilation detail, reflective print logo, and three stripe motif, placed floating over neutral background under with neon blue or orange edge light, in realistic clothing visualization.",adidas,unbranding_brand,biased,1874,adidas_1874_502
adidas_509628_1049,a realistic photo of the adidas t-shirt with blurred background,adidas,unbranding_brand,directed,509628,adidas_509628_1049
adidas_206358_1050,a studio-style photo of the adidas t-shirt in a studio setting,adidas,unbranding_brand,directed,206358,adidas_206358_1050
adidas_332525_1051,a soft-lit photo of the adidas t-shirt with blurred background,adidas,unbranding_brand,directed,332525,adidas_332525_1051
adidas_404425_1052,a minimalist photo of the adidas t-shirt at night with city lights,adidas,unbranding_brand,directed,404425,adidas_404425_1052
adidas_964738_1053,a cinematic photo of the adidas t-shirt on display in store,adidas,unbranding_brand,directed,964738,adidas_964738_1053
apple_1870_430,"A minimalist high-end product packaging with precise geometry and white background closed laptop lid with centered logo zone featuring glossy glass back panel with reflective highlight, smooth metallic texture and soft edges, and centered logo shape resembling a geometric icon, placed on a white reflective desk surface under with subtle rim light along edges, in commercial technology render.",apple,unbranding_brand,biased,1870,apple_1870_430
apple_1721_431,"A modern matte metallic finish and clean symmetry closed laptop lid with centered logo zone featuring precise chamfered aluminum frame, glossy glass back panel with reflective highlight, and centered logo shape resembling a geometric icon, placed in clean workspace layout with neutral tones under with bright overhead illumination, in commercial technology render.",apple,unbranding_brand,biased,1721,apple_1721_431
apple_1369_432,"A minimalist minimalist design language with centered logo placement back of a smartphone on soft background featuring precise chamfered aluminum frame, minimalistic packaging with thin sans-serif typography, and glossy glass back panel with reflective highlight, placed on a white reflective desk surface under under cool white LED lighting, in realistic 3D visualization.",apple,unbranding_brand,biased,1369,apple_1369_432
apple_1349_433,"A minimalist matte metallic finish and clean symmetry closed laptop lid with centered logo zone featuring silver, graphite, and white tones suggesting luxury, minimalistic packaging with thin sans-serif typography, and symmetrical camera bump or lens area, placed inside a minimal product photo studio under under diffused soft light emphasizing reflections, in commercial technology render.",apple,unbranding_brand,biased,1349,apple_1349_433
apple_1822_434,"A minimalist minimalist design language with centered logo placement workspace setup with closed device and accessories featuring matte gray or blue finish hinting at premium device, glossy glass back panel with reflective highlight, and silver, graphite, and white tones suggesting luxury, placed inside a minimal product photo studio under with subtle rim light along edges, in advertising shot for premium tech brand.",apple,unbranding_brand,biased,1822,apple_1822_434
apple_275665_930,a high-quality photo of the apple laptop next to modern building,apple,unbranding_brand,directed,275665,apple_275665_930
apple_428618_931,a detailed photo of the apple laptop in motion,apple,unbranding_brand,directed,428618,apple_428618_931
apple_72611_932,a soft-lit photo of the apple laptop with blurred background,apple,unbranding_brand,directed,72611,apple_72611_932
apple_433618_933,a studio-style photo of the apple laptop in a studio setting,apple,unbranding_brand,directed,433618,apple_433618_933
apple_335699_934,a modern photo of the apple laptop with reflection on surface,apple,unbranding_brand,directed,335699,apple_335699_934
audi_1098_33,"A sporty German coupe featuring sport-inspired diffuser, twin-kidney front grille, and sharply defined body lines, captured in in a modern studio under during golden hour, rendered in photorealistic render.",audi,unbranding_brand,biased,1098,audi_1098_33
audi_1987_49,"A aggressive German sedan featuring performance-oriented stance, muscular wheel arches, and blue and white accents, captured in in a futuristic showroom under during golden hour, rendered in photorealistic render.",audi,unbranding_brand,biased,1987,audi_1987_49
audi_1683_55,"A luxury German sedan featuring aerodynamic silhouette, dynamic LED headlights, and twin-kidney front grille, captured in in a night city scene under with studio flash reflections, rendered in photorealistic render.",audi,unbranding_brand,biased,1683,audi_1683_55
audi_1828_56,"A sporty German coupe featuring sharply defined body lines, sport-inspired diffuser, and high-gloss black details, captured in in a modern studio under with cinematic lighting, rendered in photorealistic render.",audi,unbranding_brand,biased,1828,audi_1828_56
audi_1163_58,"A sporty German sedan featuring aerodynamic silhouette, dynamic LED headlights, and sport-inspired diffuser, captured in in a modern studio under with studio flash reflections, rendered in cinematic film still.",audi,unbranding_brand,biased,1163,audi_1163_58
audi_871264_876,a vibrant photo of the audi car in motion,audi,unbranding_brand,directed,871264,audi_871264_876
audi_496362_877,a vibrant photo of the audi car in motion,audi,unbranding_brand,directed,496362,audi_496362_877
audi_428709_878,a high-quality photo of the audi car in desert environment,audi,unbranding_brand,directed,428709,audi_428709_878
audi_14020_879,a modern photo of the audi car on runway,audi,unbranding_brand,directed,14020,audi_14020_879
audi_237457_880,a cinematic photo of the audi car under bright sunlight,audi,unbranding_brand,directed,237457,audi_237457_880
bmw_1114_32,"A sporty German sedan featuring twin-kidney front grille, aerodynamic silhouette, and blue and white accents, captured in on a mountain road under during golden hour, rendered in photorealistic render.",bmw,unbranding_brand,biased,1114,bmw_1114_32
bmw_1292_34,"A modern German coupe featuring low aggressive front end, muscular wheel arches, and twin-kidney front grille, captured in in a night city scene under with cinematic lighting, rendered in 8k ultra-detailed shot.",bmw,unbranding_brand,biased,1292,bmw_1292_34
bmw_1121_36,"A aggressive German coupe featuring sport-inspired diffuser, blue and white accents, and high-gloss black details, captured in in a futuristic showroom under during golden hour, rendered in photorealistic render.",bmw,unbranding_brand,biased,1121,bmw_1121_36
bmw_1113_38,"A modern German SUV featuring high-gloss black details, sport-inspired diffuser, and blue and white accents, captured in on a racetrack under during golden hour, rendered in photorealistic render.",bmw,unbranding_brand,biased,1113,bmw_1113_38
bmw_1575_39,"A sporty German sedan featuring sharply defined body lines, blue and white accents, and dynamic LED headlights, captured in in a modern studio under with cinematic lighting, rendered in photorealistic render.",bmw,unbranding_brand,biased,1575,bmw_1575_39
bmw_408540_765,a modern photo of the bmw car with reflection on surface,bmw,unbranding_brand,directed,408540,bmw_408540_765
bmw_562231_766,a detailed photo of the bmw car on street during daytime,bmw,unbranding_brand,directed,562231,bmw_562231_766
bmw_703873_767,a cinematic photo of the bmw car in motion,bmw,unbranding_brand,directed,703873,bmw_703873_767
bmw_722397_768,a studio-style photo of the bmw car in desert environment,bmw,unbranding_brand,directed,722397,bmw_722397_768
bmw_740751_769,a studio-style photo of the bmw car on display in store,bmw,unbranding_brand,directed,740751,bmw_740751_769
coca-cola_1181_280,"A refreshing American soda can featuring frosted surface, bold red and white branding, and crisply detailed label, captured in in a cinematic close-up scene under with cinematic reflections, rendered in ultra-detailed 8k product shot.",coca-cola,unbranding_brand,biased,1181,coca-cola_1181_280
coca-cola_1531_281,"A refreshing American soda can featuring condensation droplets, realistic reflections, and crisply detailed label, captured in in a cinematic close-up scene under with cinematic reflections, rendered in commercial advertisement render.",coca-cola,unbranding_brand,biased,1531,coca-cola_1531_281
