id,prompt,target_concept,category,habitat,template_id
animal_land_cat_001,a cat sitting on a sunny windowsill,cat,animal_land,land,resting_scene
animal_land_cat_002,a cat walking through a quiet garden,cat,animal_land,land,motion_scene
animal_land_cat_003,a cat looking at the camera in a cozy room,cat,animal_land,land,portrait_scene
animal_land_dog_001,a dog running across a grassy park,dog,animal_land,land,motion_scene
animal_land_dog_002,a dog sitting beside a wooden fence,dog,animal_land,land,resting_scene
animal_land_dog_003,a dog looking at the camera near a front porch,dog,animal_land,land,portrait_scene
animal_land_horse_001,a horse standing in an open meadow,horse,animal_land,land,resting_scene
animal_land_horse_002,a horse running along a dirt path,horse,animal_land,land,motion_scene
animal_land_horse_003,a horse looking over a stable door,horse,animal_land,land,portrait_scene
animal_land_cow_001,a cow standing in a green pasture,cow,animal_land,land,resting_scene
animal_land_cow_002,a cow walking beside a wooden barn,cow,animal_land,land,motion_scene
animal_land_cow_003,a cow looking at the camera in a farm field,cow,animal_land,land,portrait_scene
animal_land_sheep_001,a sheep grazing on a hillside,sheep,animal_land,land,resting_scene
animal_land_sheep_002,a sheep walking through a grassy field,sheep,animal_land,land,motion_scene
animal_land_sheep_003,a sheep looking toward the camera near a stone wall,sheep,animal_land,land,portrait_scene
animal_land_goat_001,a goat standing on a rocky hillside,goat,animal_land,land,resting_scene
animal_land_goat_002,a goat walking along a mountain path,goat,animal_land,land,motion_scene
animal_land_goat_003,a goat looking at the camera beside a fence,goat,animal_land,land,portrait_scene
animal_land_pig_001,a pig standing in a muddy farm pen,pig,animal_land,land,resting_scene
animal_land_pig_002,a pig walking through a straw covered barnyard,pig,animal_land,land,motion_scene
animal_land_pig_003,a pig looking at the camera near a wooden trough,pig,animal_land,land,portrait_scene
animal_land_rabbit_001,a rabbit sitting beside a patch of clover,rabbit,animal_land,land,resting_scene
animal_land_rabbit_002,a rabbit hopping across a garden path,rabbit,animal_land,land,motion_scene
animal_land_rabbit_003,a rabbit looking at the camera near a flower bed,rabbit,animal_land,land,portrait_scene
animal_land_deer_001,a deer standing at the edge of a forest,deer,animal_land,land,resting_scene
animal_land_deer_002,a deer walking through tall grass,deer,animal_land,land,motion_scene
animal_land_deer_003,a deer looking toward the camera in a woodland clearing,deer,animal_land,land,portrait_scene
animal_land_elephant_001,an elephant standing beside a watering hole,elephant,animal_land,land,resting_scene
animal_land_elephant_002,an elephant walking across a dry savanna,elephant,animal_land,land,motion_scene
animal_land_elephant_003,an elephant looking at the camera under a broad tree,elephant,animal_land,land,portrait_scene
animal_land_lion_001,a lion resting on a warm rock,lion,animal_land,land,resting_scene
animal_land_lion_002,a lion walking through golden grass,lion,animal_land,land,motion_scene
animal_land_lion_003,a lion looking at the camera in a savanna landscape,lion,animal_land,land,portrait_scene
animal_land_tiger_001,a tiger standing beside dense jungle plants,tiger,animal_land,land,resting_scene
animal_land_tiger_002,a tiger walking along a forest trail,tiger,animal_land,land,motion_scene
animal_land_tiger_003,a tiger looking at the camera near a shaded pool,tiger,animal_land,land,portrait_scene
animal_land_leopard_001,a leopard resting on a tree branch,leopard,animal_land,land,resting_scene
animal_land_leopard_002,a leopard walking through spotted forest shade,leopard,animal_land,land,motion_scene
animal_land_leopard_003,a leopard looking at the camera from tall grass,leopard,animal_land,land,portrait_scene
animal_land_cheetah_001,a cheetah standing on an open plain,cheetah,animal_land,land,resting_scene
animal_land_cheetah_002,a cheetah running across a dry grassland,cheetah,animal_land,land,motion_scene
animal_land_cheetah_003,a cheetah looking at the camera on a low hill,cheetah,animal_land,land,portrait_scene
animal_land_bear_001,a bear standing near a forest stream,bear,animal_land,land,resting_scene
animal_land_bear_002,a bear walking through a pine forest,bear,animal_land,land,motion_scene
animal_land_bear_003,a bear looking at the camera beside a fallen log,bear,animal_land,land,portrait_scene
animal_land_panda_001,a panda sitting beside bamboo stalks,panda,animal_land,land,resting_scene
animal_land_panda_002,a panda walking through a bamboo grove,panda,animal_land,land,motion_scene
animal_land_panda_003,a panda looking at the camera while holding bamboo,panda,animal_land,land,portrait_scene
animal_land_koala_001,a koala sitting in a eucalyptus tree,koala,animal_land,land,resting_scene
animal_land_koala_002,a koala climbing along a tree branch,koala,animal_land,land,motion_scene
animal_land_koala_003,a koala looking at the camera among eucalyptus leaves,koala,animal_land,land,portrait_scene
animal_land_kangaroo_001,a kangaroo standing in an open scrubland,kangaroo,animal_land,land,resting_scene
animal_land_kangaroo_002,a kangaroo hopping across a dusty plain,kangaroo,animal_land,land,motion_scene
animal_land_kangaroo_003,a kangaroo looking at the camera near dry grass,kangaroo,animal_land,land,portrait_scene
animal_land_zebra_001,a zebra standing in a savanna field,zebra,animal_land,land,resting_scene
animal_land_zebra_002,a zebra walking beside acacia trees,zebra,animal_land,land,motion_scene
animal_land_zebra_003,a zebra looking at the camera in striped sunlight,zebra,animal_land,land,portrait_scene
animal_land_giraffe_001,a giraffe standing beside a tall acacia tree,giraffe,animal_land,land,resting_scene
animal_land_giraffe_002,a giraffe walking across an open savanna,giraffe,animal_land,land,motion_scene
animal_land_giraffe_003,a giraffe looking at the camera above leafy branches,giraffe,animal_land,land,portrait_scene
animal_land_rhinoceros_001,a rhinoceros standing near a dusty waterhole,rhinoceros,animal_land,land,resting_scene
animal_land_rhinoceros_002,a rhinoceros walking across dry ground,rhinoceros,animal_land,land,motion_scene
animal_land_rhinoceros_003,a rhinoceros looking at the camera in a wildlife reserve,rhinoceros,animal_land,land,portrait_scene
animal_land_hippopotamus_001,a hippopotamus resting near a riverbank,hippopotamus,animal_land,land,resting_scene
animal_land_hippopotamus_002,a hippopotamus walking out of shallow water,hippopotamus,animal_land,land,motion_scene
animal_land_hippopotamus_003,a hippopotamus looking at the camera beside reeds,hippopotamus,animal_land,land,portrait_scene
animal_land_fox_001,a fox sitting near autumn leaves,fox,animal_land,land,resting_scene
animal_land_fox_002,a fox walking through a snowy field,fox,animal_land,land,motion_scene
animal_land_fox_003,a fox looking at the camera at the forest edge,fox,animal_land,land,portrait_scene
animal_land_wolf_001,a wolf standing on a rocky ridge,wolf,animal_land,land,resting_scene
animal_land_wolf_002,a wolf walking through a pine forest,wolf,animal_land,land,motion_scene
animal_land_wolf_003,a wolf looking at the camera under cloudy light,wolf,animal_land,land,portrait_scene
animal_land_monkey_001,a monkey sitting on a jungle branch,monkey,animal_land,land,resting_scene
animal_land_monkey_002,a monkey climbing through green trees,monkey,animal_land,land,motion_scene
animal_land_monkey_003,a monkey looking at the camera while holding fruit,monkey,animal_land,land,portrait_scene
animal_land_gorilla_001,a gorilla sitting in a forest clearing,gorilla,animal_land,land,resting_scene
animal_land_gorilla_002,a gorilla walking through thick vegetation,gorilla,animal_land,land,motion_scene
animal_land_gorilla_003,a gorilla looking at the camera among large leaves,gorilla,animal_land,land,portrait_scene
animal_land_chimpanzee_001,a chimpanzee sitting on a tree stump,chimpanzee,animal_land,land,resting_scene
animal_land_chimpanzee_002,a chimpanzee walking across a forest floor,chimpanzee,animal_land,land,motion_scene
animal_land_chimpanzee_003,a chimpanzee looking at the camera near vines,chimpanzee,animal_land,land,portrait_scene
animal_land_sloth_001,a sloth hanging from a tree branch,sloth,animal_land,land,resting_scene
animal_land_sloth_002,a sloth slowly climbing through rainforest branches,sloth,animal_land,land,motion_scene
animal_land_sloth_003,a sloth looking at the camera among green leaves,sloth,animal_land,land,portrait_scene
animal_land_otter_001,an otter resting on a smooth river stone,otter,animal_land,land,resting_scene
animal_land_otter_002,an otter walking along a muddy riverbank,otter,animal_land,land,motion_scene
animal_land_otter_003,an otter looking at the camera beside clear water,otter,animal_land,land,portrait_scene
animal_land_squirrel_001,a squirrel sitting on a tree branch,squirrel,animal_land,land,resting_scene
animal_land_squirrel_002,a squirrel running across a park lawn,squirrel,animal_land,land,motion_scene
animal_land_squirrel_003,a squirrel looking at the camera while holding a nut,squirrel,animal_land,land,portrait_scene
animal_land_mouse_001,a mouse sitting beside a small wooden box,mouse,animal_land,land,resting_scene
animal_land_mouse_002,a mouse running across a kitchen floor,mouse,animal_land,land,motion_scene
animal_land_mouse_003,a mouse looking at the camera near a crumb,mouse,animal_land,land,portrait_scene
animal_land_hamster_001,a hamster sitting in a small bedding nest,hamster,animal_land,land,resting_scene
animal_land_hamster_002,a hamster running through a tiny play tunnel,hamster,animal_land,land,motion_scene
animal_land_hamster_003,a hamster looking at the camera while holding a seed,hamster,animal_land,land,portrait_scene
animal_land_guinea_pig_001,a guinea pig sitting on soft hay,guinea pig,animal_land,land,resting_scene
animal_land_guinea_pig_002,a guinea pig walking across a small indoor pen,guinea pig,animal_land,land,motion_scene
animal_land_guinea_pig_003,a guinea pig looking at the camera beside fresh greens,guinea pig,animal_land,land,portrait_scene
animal_land_hedgehog_001,a hedgehog sitting on a mossy log,hedgehog,animal_land,land,resting_scene
animal_land_hedgehog_002,a hedgehog walking through fallen leaves,hedgehog,animal_land,land,motion_scene
animal_land_hedgehog_003,a hedgehog looking at the camera on a garden path,hedgehog,animal_land,land,portrait_scene
animal_land_meerkat_001,a meerkat standing upright in desert sand,meerkat,animal_land,land,resting_scene
animal_land_meerkat_002,a meerkat walking near a burrow,meerkat,animal_land,land,motion_scene
animal_land_meerkat_003,a meerkat looking at the camera from a sandy mound,meerkat,animal_land,land,portrait_scene
animal_land_lemur_001,a lemur sitting on a tree branch,lemur,animal_land,land,resting_scene
animal_land_lemur_002,a lemur leaping between forest branches,lemur,animal_land,land,motion_scene
animal_land_lemur_003,a lemur looking at the camera with its ringed tail visible,lemur,animal_land,land,portrait_scene
animal_land_camel_001,a camel standing on a sandy desert dune,camel,animal_land,land,resting_scene
animal_land_camel_002,a camel walking across a desert plain,camel,animal_land,land,motion_scene
animal_land_camel_003,a camel looking at the camera near palm trees,camel,animal_land,land,portrait_scene
animal_land_llama_001,a llama standing in a mountain meadow,llama,animal_land,land,resting_scene
animal_land_llama_002,a llama walking along a stone path,llama,animal_land,land,motion_scene
animal_land_llama_003,a llama looking at the camera near woven blankets,llama,animal_land,land,portrait_scene
animal_land_alpaca_001,an alpaca standing on a grassy farm,alpaca,animal_land,land,resting_scene
animal_land_alpaca_002,an alpaca walking beside a wooden fence,alpaca,animal_land,land,motion_scene
animal_land_alpaca_003,an alpaca looking at the camera in soft daylight,alpaca,animal_land,land,portrait_scene
animal_land_donkey_001,a donkey standing near a stone barn,donkey,animal_land,land,resting_scene
animal_land_donkey_002,a donkey walking along a rural road,donkey,animal_land,land,motion_scene
animal_land_donkey_003,a donkey looking at the camera beside hay bales,donkey,animal_land,land,portrait_scene
animal_water_dolphin_001,a dolphin swimming through clear blue water,dolphin,animal_water,water,motion_scene
animal_water_dolphin_002,a dolphin jumping above ocean waves,dolphin,animal_water,water,action_scene
animal_water_dolphin_003,a dolphin looking toward the camera underwater,dolphin,animal_water,water,portrait_scene
animal_water_whale_001,a whale swimming below the ocean surface,whale,animal_water,water,motion_scene
animal_water_whale_002,a whale rising near a calm coastline,whale,animal_water,water,action_scene
animal_water_whale_003,a whale looking enormous beneath blue water,whale,animal_water,water,portrait_scene
animal_water_orca_001,an orca swimming beside a rocky shoreline,orca,animal_water,water,motion_scene
animal_water_orca_002,an orca leaping out of cold ocean water,orca,animal_water,water,action_scene
animal_water_orca_003,an orca looking toward the camera underwater,orca,animal_water,water,portrait_scene
animal_water_shark_001,a shark swimming through deep ocean water,shark,animal_water,water,motion_scene
animal_water_shark_002,a shark turning near a coral reef,shark,animal_water,water,action_scene
animal_water_shark_003,a shark looking toward the camera in blue water,shark,animal_water,water,portrait_scene
animal_water_great_white_shark_001,a great white shark swimming near the ocean surface,great white shark,animal_water,water,motion_scene
animal_water_great_white_shark_002,a great white shark turning through clear water,great white shark,animal_water,water,action_scene
animal_water_great_white_shark_003,a great white shark looking toward the camera underwater,great white shark,animal_water,water,portrait_scene
animal_water_octopus_001,an octopus resting on a coral reef,octopus,animal_water,water,resting_scene
animal_water_octopus_002,an octopus moving across the sea floor,octopus,animal_water,water,motion_scene
animal_water_octopus_003,an octopus looking at the camera beside colorful coral,octopus,animal_water,water,portrait_scene
animal_water_squid_001,a squid floating in dark ocean water,squid,animal_water,water,resting_scene
animal_water_squid_002,a squid swimming through a cloud of bubbles,squid,animal_water,water,motion_scene
animal_water_squid_003,a squid looking toward the camera in deep water,squid,animal_water,water,portrait_scene
