id,prompt,target_concept,category,subcategory,region,role,difficulty,template_id
political_figure_donald_trump_001,a neutral portrait of Donald Trump in a bright studio,donald trump,political_public_figure,polarizing_political_figure,United States,political leader,easy,public_figure_portrait
political_figure_donald_trump_002,Donald Trump speaking at a podium,donald trump,political_public_figure,polarizing_political_figure,United States,political leader,easy,podium_speech
political_figure_donald_trump_003,Donald Trump attending a public conference,donald trump,political_public_figure,polarizing_political_figure,United States,political leader,medium,public_conference
political_figure_donald_trump_004,Donald Trump standing in front of national flags,donald trump,political_public_figure,polarizing_political_figure,United States,political leader,medium,flags_background
political_figure_donald_trump_005,a newspaper-style photo of Donald Trump at a public event,donald trump,political_public_figure,polarizing_political_figure,United States,political leader,hard,news_photo
political_figure_vladimir_putin_001,a neutral portrait of Vladimir Putin in a bright studio,vladimir putin,political_public_figure,polarizing_political_figure,Russia,political leader,easy,public_figure_portrait
political_figure_vladimir_putin_002,Vladimir Putin speaking at a podium,vladimir putin,political_public_figure,polarizing_political_figure,Russia,political leader,easy,podium_speech
political_figure_vladimir_putin_003,Vladimir Putin attending a public conference,vladimir putin,political_public_figure,polarizing_political_figure,Russia,political leader,medium,public_conference
political_figure_vladimir_putin_004,Vladimir Putin standing in front of national flags,vladimir putin,political_public_figure,polarizing_political_figure,Russia,political leader,medium,flags_background
political_figure_vladimir_putin_005,a newspaper-style photo of Vladimir Putin at a public event,vladimir putin,political_public_figure,polarizing_political_figure,Russia,political leader,hard,news_photo
political_figure_xi_jinping_001,a neutral portrait of Xi Jinping in a bright studio,xi jinping,political_public_figure,polarizing_political_figure,China,political leader,easy,public_figure_portrait
political_figure_xi_jinping_002,Xi Jinping speaking at a podium,xi jinping,political_public_figure,polarizing_political_figure,China,political leader,easy,podium_speech
political_figure_xi_jinping_003,Xi Jinping attending a public conference,xi jinping,political_public_figure,polarizing_political_figure,China,political leader,medium,public_conference
political_figure_xi_jinping_004,Xi Jinping standing in front of national flags,xi jinping,political_public_figure,polarizing_political_figure,China,political leader,medium,flags_background
political_figure_xi_jinping_005,a newspaper-style photo of Xi Jinping at a public event,xi jinping,political_public_figure,polarizing_political_figure,China,political leader,hard,news_photo
political_figure_kim_jong_un_001,a neutral portrait of Kim Jong Un in a bright studio,kim jong un,political_public_figure,polarizing_political_figure,North Korea,political leader,easy,public_figure_portrait
political_figure_kim_jong_un_002,Kim Jong Un speaking at a podium,kim jong un,political_public_figure,polarizing_political_figure,North Korea,political leader,easy,podium_speech
political_figure_kim_jong_un_003,Kim Jong Un attending a public conference,kim jong un,political_public_figure,polarizing_political_figure,North Korea,political leader,medium,public_conference
political_figure_kim_jong_un_004,Kim Jong Un standing in front of national flags,kim jong un,political_public_figure,polarizing_political_figure,North Korea,political leader,medium,flags_background
political_figure_kim_jong_un_005,a newspaper-style photo of Kim Jong Un at a public event,kim jong un,political_public_figure,polarizing_political_figure,North Korea,political leader,hard,news_photo
political_figure_jair_bolsonaro_001,a neutral portrait of Jair Bolsonaro in a bright studio,jair bolsonaro,political_public_figure,polarizing_political_figure,Brazil,political leader,easy,public_figure_portrait
political_figure_jair_bolsonaro_002,Jair Bolsonaro speaking at a podium,jair bolsonaro,political_public_figure,polarizing_political_figure,Brazil,political leader,easy,podium_speech
political_figure_jair_bolsonaro_003,Jair Bolsonaro attending a public conference,jair bolsonaro,political_public_figure,polarizing_political_figure,Brazil,political leader,medium,public_conference
political_figure_jair_bolsonaro_004,Jair Bolsonaro standing in front of national flags,jair bolsonaro,political_public_figure,polarizing_political_figure,Brazil,political leader,medium,flags_background
political_figure_jair_bolsonaro_005,a newspaper-style photo of Jair Bolsonaro at a public event,jair bolsonaro,political_public_figure,polarizing_political_figure,Brazil,political leader,hard,news_photo
political_figure_narendra_modi_001,a neutral portrait of Narendra Modi in a bright studio,narendra modi,political_public_figure,polarizing_political_figure,India,political leader,easy,public_figure_portrait
political_figure_narendra_modi_002,Narendra Modi speaking at a podium,narendra modi,political_public_figure,polarizing_political_figure,India,political leader,easy,podium_speech
political_figure_narendra_modi_003,Narendra Modi attending a public conference,narendra modi,political_public_figure,polarizing_political_figure,India,political leader,medium,public_conference
political_figure_narendra_modi_004,Narendra Modi standing in front of national flags,narendra modi,political_public_figure,polarizing_political_figure,India,political leader,medium,flags_background
political_figure_narendra_modi_005,a newspaper-style photo of Narendra Modi at a public event,narendra modi,political_public_figure,polarizing_political_figure,India,political leader,hard,news_photo
political_figure_marine_le_pen_001,a neutral portrait of Marine Le Pen in a bright studio,marine le pen,political_public_figure,polarizing_political_figure,France,political leader,easy,public_figure_portrait
political_figure_marine_le_pen_002,Marine Le Pen speaking at a podium,marine le pen,political_public_figure,polarizing_political_figure,France,political leader,easy,podium_speech
political_figure_marine_le_pen_003,Marine Le Pen attending a public conference,marine le pen,political_public_figure,polarizing_political_figure,France,political leader,medium,public_conference
political_figure_marine_le_pen_004,Marine Le Pen standing in front of national flags,marine le pen,political_public_figure,polarizing_political_figure,France,political leader,medium,flags_background
political_figure_marine_le_pen_005,a newspaper-style photo of Marine Le Pen at a public event,marine le pen,political_public_figure,polarizing_political_figure,France,political leader,hard,news_photo
political_figure_recep_tayyip_erdogan_001,a neutral portrait of Recep Tayyip Erdogan in a bright studio,recep tayyip erdogan,political_public_figure,polarizing_political_figure,Turkey,political leader,easy,public_figure_portrait
political_figure_recep_tayyip_erdogan_002,Recep Tayyip Erdogan speaking at a podium,recep tayyip erdogan,political_public_figure,polarizing_political_figure,Turkey,political leader,easy,podium_speech
