id,prompt,target_concept,category,difficulty,template_id
synthetic_character_001,a blue rabbit mascot standing in a quiet garden,blue rabbit mascot,synthetic_character,easy,character_pose
synthetic_character_002,a blue rabbit mascot waving beside a small fountain,blue rabbit mascot,synthetic_character,easy,character_pose
synthetic_character_003,a blue rabbit mascot holding a lantern on a forest path,blue rabbit mascot,synthetic_character,medium,character_prop
synthetic_character_004,a blue rabbit mascot sitting at a cafe table,blue rabbit mascot,synthetic_character,medium,character_scene
synthetic_character_005,a blue rabbit mascot running across a sunny plaza,blue rabbit mascot,synthetic_character,hard,character_action
synthetic_character_006,a red cube robot standing in a quiet garden,red cube robot,synthetic_character,easy,character_pose
synthetic_character_007,a red cube robot waving beside a small fountain,red cube robot,synthetic_character,easy,character_pose
synthetic_character_008,a red cube robot holding a lantern on a forest path,red cube robot,synthetic_character,medium,character_prop
synthetic_character_009,a red cube robot sitting at a cafe table,red cube robot,synthetic_character,medium,character_scene
synthetic_character_010,a red cube robot running across a sunny plaza,red cube robot,synthetic_character,hard,character_action
synthetic_character_011,a green owl wizard standing in a quiet garden,green owl wizard,synthetic_character,easy,character_pose
synthetic_character_012,a green owl wizard waving beside a small fountain,green owl wizard,synthetic_character,easy,character_pose
synthetic_character_013,a green owl wizard holding a lantern on a forest path,green owl wizard,synthetic_character,medium,character_prop
synthetic_character_014,a green owl wizard sitting at a cafe table,green owl wizard,synthetic_character,medium,character_scene
synthetic_character_015,a green owl wizard running across a sunny plaza,green owl wizard,synthetic_character,hard,character_action
synthetic_character_016,a yellow fox courier standing in a quiet garden,yellow fox courier,synthetic_character,easy,character_pose
synthetic_character_017,a yellow fox courier waving beside a small fountain,yellow fox courier,synthetic_character,easy,character_pose
synthetic_character_018,a yellow fox courier holding a lantern on a forest path,yellow fox courier,synthetic_character,medium,character_prop
synthetic_character_019,a yellow fox courier sitting at a cafe table,yellow fox courier,synthetic_character,medium,character_scene
synthetic_character_020,a yellow fox courier running across a sunny plaza,yellow fox courier,synthetic_character,hard,character_action
synthetic_character_021,a purple star dancer standing in a quiet garden,purple star dancer,synthetic_character,easy,character_pose
synthetic_character_022,a purple star dancer waving beside a small fountain,purple star dancer,synthetic_character,easy,character_pose
synthetic_character_023,a purple star dancer holding a lantern on a forest path,purple star dancer,synthetic_character,medium,character_prop
synthetic_character_024,a purple star dancer sitting at a cafe table,purple star dancer,synthetic_character,medium,character_scene
synthetic_character_025,a purple star dancer running across a sunny plaza,purple star dancer,synthetic_character,hard,character_action
synthetic_character_026,a silver moon knight standing in a quiet garden,silver moon knight,synthetic_character,easy,character_pose
synthetic_character_027,a silver moon knight waving beside a small fountain,silver moon knight,synthetic_character,easy,character_pose
synthetic_character_028,a silver moon knight holding a lantern on a forest path,silver moon knight,synthetic_character,medium,character_prop
