id,prompt,target_concept,category,caption_variant,image_file,source_file
celebcaption_abel_tesfaye_001_summary_with_name,Abel Tesfaye with dreadlocks and beard in indoor dim setting.,abel tesfaye,celebcaption_public_figure,summary_with_name,1.jpg,abel_tesfaye.jsonl
celebcaption_abel_tesfaye_002_summary_with_name,Abel Tesfaye smiling and enjoying a lively moment indoors.,abel tesfaye,celebcaption_public_figure,summary_with_name,2.jpg,abel_tesfaye.jsonl
celebcaption_abel_tesfaye_003_summary_with_name,Abel Tesfaye poses with striking shadow silhouettes behind him.,abel tesfaye,celebcaption_public_figure,summary_with_name,3.jpg,abel_tesfaye.jsonl
celebcaption_abel_tesfaye_004_detailed_with_name,"Abel Tesfaye is seated on a vintage, black chest with brass accents, dressed in an all-black outfit consisting of a jacket and pants. He looks directly at the camera with a composed expression against a dark background.",abel tesfaye,celebcaption_public_figure,detailed_with_name,4.jpg,abel_tesfaye.jsonl
celebcaption_abel_tesfaye_005_detailed_with_name,"Abel Tesfaye is pictured adjusting his tuxedo jacket while looking towards the camera. He is standing in front of a mirror, showing his reflection dressed in a classic black tuxedo with a bow tie and a white dress shirt underneath.",abel tesfaye,celebcaption_public_figure,detailed_with_name,5.jpg,abel_tesfaye.jsonl
celebcaption_al_pacino_001_summary_with_name,Close-up portrait of Al Pacino with an intense gaze.,al pacino,celebcaption_public_figure,summary_with_name,1.jpg,al_pacino.jsonl
celebcaption_al_pacino_002_summary_with_name,Al Pacino in a contemplative close-up wearing classic 1970s attire.,al pacino,celebcaption_public_figure,summary_with_name,2.jpg,al_pacino.jsonl
celebcaption_al_pacino_003_summary_with_name,Al Pacino in a serious close-up with suit and tie.,al pacino,celebcaption_public_figure,summary_with_name,3.jpg,al_pacino.jsonl
celebcaption_al_pacino_004_detailed_with_name,"The image features a close-up of Al Pacino, highlighting his expressive eyes and rugged facial features, capturing a serious and contemplative expression.",al pacino,celebcaption_public_figure,detailed_with_name,4.jpg,al_pacino.jsonl
celebcaption_al_pacino_005_detailed_with_name,"The image is a close-up black-and-white portrait of Al Pacino, showing his pensive expression with his hands covering his mouth. His dark hair is slightly tousled, and his eyes gaze off to the side, conveying a contemplative mood.",al pacino,celebcaption_public_figure,detailed_with_name,5.jpg,al_pacino.jsonl
