id,prompt,target_concept,category,dataset,difficulty,template_id,prompt_set,seed,source_filename,caption_variant,image_file,source_file,franchise,rights_holder,subcategory,region,role,habitat
representative_100_001_synthetic_action_026,a child chasing a balloon in a quiet library,chasing a balloon,synthetic_action,synthetic,easy,action_indoor,,,,,,,,,,,,
representative_100_002_synthetic_action_042,a painter cooking breakfast beside a window,cooking breakfast,synthetic_action,synthetic,easy,action_person,,,,,,,,,,,,
representative_100_003_synthetic_action_033,a robot guarding a doorway at a small desk,guarding a doorway,synthetic_action,synthetic,medium,action_unusual,,,,,,,,,,,,
representative_100_004_synthetic_character_049,a black raven detective sitting at a cafe table,black raven detective,synthetic_character,synthetic,medium,character_scene,,,,,,,,,,,,
representative_100_005_synthetic_character_005,a blue rabbit mascot running across a sunny plaza,blue rabbit mascot,synthetic_character,synthetic,hard,character_action,,,,,,,,,,,,
representative_100_006_synthetic_character_011,a green owl wizard standing in a quiet garden,green owl wizard,synthetic_character,synthetic,easy,character_pose,,,,,,,,,,,,
representative_100_007_synthetic_character_032,an orange cat explorer waving beside a small fountain,orange cat explorer,synthetic_character,synthetic,easy,character_pose,,,,,,,,,,,,
representative_100_008_synthetic_creature_038,a black ice wolf looking at a silver moon,black ice wolf,synthetic_creature,synthetic,medium,creature_scene,,,,,,,,,,,,
representative_100_009_synthetic_creature_004,a blue glass whale surrounded by floating flowers,blue glass whale,synthetic_creature,synthetic,medium,creature_surreal,,,,,,,,,,,,
representative_100_010_synthetic_creature_015,a green cloud serpent crossing a quiet city street,green cloud serpent,synthetic_creature,synthetic,hard,creature_unusual,,,,,,,,,,,,
representative_100_011_synthetic_emblem_041,a black rose stamp printed on a white notebook cover,black rose stamp,synthetic_emblem,synthetic,easy,emblem_surface,,,,,,,,,,,,
representative_100_012_synthetic_emblem_012,a blue wave logo glowing on a storefront sign,blue wave logo,synthetic_emblem,synthetic,easy,emblem_sign,,,,,,,,,,,,
representative_100_013_synthetic_emblem_018,a golden leaf seal stitched onto a denim jacket,golden leaf seal,synthetic_emblem,synthetic,medium,emblem_cloth,,,,,,,,,,,,
representative_100_014_synthetic_object_039,a black marble chessboard floating above a marble pedestal,black marble chessboard,synthetic_object,synthetic,medium,object_surreal,,,,,,,,,,,,
representative_100_015_synthetic_object_010,a blue glass violin beside a stack of old books,blue glass violin,synthetic_object,synthetic,hard,object_context,,,,,,,,,,,,
representative_100_016_synthetic_object_011,a close up photo of a green velvet crown on a wooden table,green velvet crown,synthetic_object,synthetic,easy,object_closeup,,,,,,,,,,,,
representative_100_017_synthetic_object_027,an orange ceramic mask displayed in a bright museum room,orange ceramic mask,synthetic_object,synthetic,easy,object_display,,,,,,,,,,,,
representative_100_018_synthetic_vehicle_038,a black racing canoe beside a mechanic in a clean garage,black racing canoe,synthetic_vehicle,synthetic,medium,vehicle_context,,,,,,,,,,,,
representative_100_019_synthetic_vehicle_004,a blue rocket bike floating over a calm lake,blue rocket bike,synthetic_vehicle,synthetic,medium,vehicle_surreal,,,,,,,,,,,,
representative_100_020_synthetic_vehicle_015,a green solar train racing through a neon tunnel,green solar train,synthetic_vehicle,synthetic,hard,vehicle_action,,,,,,,,,,,,
representative_100_021_animal_flying_bat_003,a bat looking toward the camera with folded wings,bat,animal_flying,animals,,portrait_scene,,,,,,,,,,,,flying
representative_100_022_animal_insect_bee_001,a bee resting on a yellow flower,bee,animal_flying,animals,,resting_scene,,,,,,,,,,,,flying
