id,target_concept,category,dataset,prompt,target_presence,evidence,review_note,concept_supported,pair_count
representative_100_001_synthetic_action_026,chasing a balloon,synthetic_action,synthetic,a child chasing a balloon in a quiet library,explicit_target,chasing a balloon,Target is explicit after case/Unicode/whitespace normalization; context reviewed.,True,12
representative_100_002_synthetic_action_042,cooking breakfast,synthetic_action,synthetic,a painter cooking breakfast beside a window,explicit_target,cooking breakfast,Target is explicit after case/Unicode/whitespace normalization; context reviewed.,True,12
representative_100_003_synthetic_action_033,guarding a doorway,synthetic_action,synthetic,a robot guarding a doorway at a small desk,explicit_target,guarding a doorway,Target is explicit after case/Unicode/whitespace normalization; context reviewed.,True,12
representative_100_004_synthetic_character_049,black raven detective,synthetic_character,synthetic,a black raven detective sitting at a cafe table,explicit_target,black raven detective,Target is explicit after case/Unicode/whitespace normalization; context reviewed.,True,12
representative_100_005_synthetic_character_005,blue rabbit mascot,synthetic_character,synthetic,a blue rabbit mascot running across a sunny plaza,explicit_target,blue rabbit mascot,Target is explicit after case/Unicode/whitespace normalization; context reviewed.,True,12
representative_100_006_synthetic_character_011,green owl wizard,synthetic_character,synthetic,a green owl wizard standing in a quiet garden,explicit_target,green owl wizard,Target is explicit after case/Unicode/whitespace normalization; context reviewed.,True,12
representative_100_007_synthetic_character_032,orange cat explorer,synthetic_character,synthetic,an orange cat explorer waving beside a small fountain,explicit_target,orange cat explorer,Target is explicit after case/Unicode/whitespace normalization; context reviewed.,True,12
representative_100_008_synthetic_creature_038,black ice wolf,synthetic_creature,synthetic,a black ice wolf looking at a silver moon,explicit_target,black ice wolf,Target is explicit after case/Unicode/whitespace normalization; context reviewed.,True,12
representative_100_009_synthetic_creature_004,blue glass whale,synthetic_creature,synthetic,a blue glass whale surrounded by floating flowers,explicit_target,blue glass whale,Target is explicit after case/Unicode/whitespace normalization; context reviewed.,True,12
representative_100_010_synthetic_creature_015,green cloud serpent,synthetic_creature,synthetic,a green cloud serpent crossing a quiet city street,explicit_target,green cloud serpent,Target is explicit after case/Unicode/whitespace normalization; context reviewed.,True,12
representative_100_011_synthetic_emblem_041,black rose stamp,synthetic_emblem,synthetic,a black rose stamp printed on a white notebook cover,explicit_target,black rose stamp,Target is explicit after case/Unicode/whitespace normalization; context reviewed.,True,12
representative_100_012_synthetic_emblem_012,blue wave logo,synthetic_emblem,synthetic,a blue wave logo glowing on a storefront sign,explicit_target,blue wave logo,Target is explicit after case/Unicode/whitespace normalization; context reviewed.,True,12
representative_100_013_synthetic_emblem_018,golden leaf seal,synthetic_emblem,synthetic,a golden leaf seal stitched onto a denim jacket,explicit_target,golden leaf seal,Target is explicit after case/Unicode/whitespace normalization; context reviewed.,True,12
representative_100_014_synthetic_object_039,black marble chessboard,synthetic_object,synthetic,a black marble chessboard floating above a marble pedestal,explicit_target,black marble chessboard,Target is explicit after case/Unicode/whitespace normalization; context reviewed.,True,12
representative_100_015_synthetic_object_010,blue glass violin,synthetic_object,synthetic,a blue glass violin beside a stack of old books,explicit_target,blue glass violin,Target is explicit after case/Unicode/whitespace normalization; context reviewed.,True,12
representative_100_016_synthetic_object_011,green velvet crown,synthetic_object,synthetic,a close up photo of a green velvet crown on a wooden table,explicit_target,green velvet crown,Target is explicit after case/Unicode/whitespace normalization; context reviewed.,True,12
representative_100_017_synthetic_object_027,orange ceramic mask,synthetic_object,synthetic,an orange ceramic mask displayed in a bright museum room,explicit_target,orange ceramic mask,Target is explicit after case/Unicode/whitespace normalization; context reviewed.,True,12
representative_100_018_synthetic_vehicle_038,black racing canoe,synthetic_vehicle,synthetic,a black racing canoe beside a mechanic in a clean garage,explicit_target,black racing canoe,Target is explicit after case/Unicode/whitespace normalization; context reviewed.,True,12
representative_100_019_synthetic_vehicle_004,blue rocket bike,synthetic_vehicle,synthetic,a blue rocket bike floating over a calm lake,explicit_target,blue rocket bike,Target is explicit after case/Unicode/whitespace normalization; context reviewed.,True,12
representative_100_020_synthetic_vehicle_015,green solar train,synthetic_vehicle,synthetic,a green solar train racing through a neon tunnel,explicit_target,green solar train,Target is explicit after case/Unicode/whitespace normalization; context reviewed.,True,12
representative_100_021_animal_flying_bat_003,bat,animal_flying,animals,a bat looking toward the camera with folded wings,explicit_target,bat,Target is explicit after case/Unicode/whitespace normalization; context reviewed.,True,12
representative_100_022_animal_insect_bee_001,bee,animal_flying,animals,a bee resting on a yellow flower,explicit_target,bee,Target is explicit after case/Unicode/whitespace normalization; context reviewed.,True,12
representative_100_023_animal_insect_butterfly_002,butterfly,animal_flying,animals,a butterfly flying through a sunny meadow,explicit_target,butterfly,Target is explicit after case/Unicode/whitespace normalization; context reviewed.,True,12
representative_100_024_animal_flying_chicken_003,chicken,animal_flying,animals,a chicken looking at the camera beside straw,explicit_target,chicken,Target is explicit after case/Unicode/whitespace normalization; context reviewed.,True,12
representative_100_025_animal_flying_crow_001,crow,animal_flying,animals,a crow perched on an old fence,explicit_target,crow,Target is explicit after case/Unicode/whitespace normalization; context reviewed.,True,12
representative_100_026_animal_land_alpaca_002,alpaca,animal_land,animals,an alpaca walking beside a wooden fence,explicit_target,alpaca,Target is explicit after case/Unicode/whitespace normalization; context reviewed.,True,12
representative_100_027_animal_land_bear_003,bear,animal_land,animals,a bear looking at the camera beside a fallen log,explicit_target,bear,Target is explicit after case/Unicode/whitespace normalization; context reviewed.,True,12
representative_100_028_animal_land_camel_001,camel,animal_land,animals,a camel standing on a sandy desert dune,explicit_target,camel,Target is explicit after case/Unicode/whitespace normalization; context reviewed.,True,12
representative_100_029_animal_land_cat_002,cat,animal_land,animals,a cat walking through a quiet garden,explicit_target,cat,Target is explicit after case/Unicode/whitespace normalization; context reviewed.,True,12
representative_100_030_animal_reptile_chameleon_003,chameleon,animal_reptile_amphibian,animals,a chameleon looking at the camera with curled tail,explicit_target,chameleon,Target is explicit after case/Unicode/whitespace normalization; context reviewed.,True,12
representative_100_031_animal_land_cheetah_001,cheetah,animal_land,animals,a cheetah standing on an open plain,explicit_target,cheetah,Target is explicit after case/Unicode/whitespace normalization; context reviewed.,True,12
representative_100_032_animal_land_chimpanzee_002,chimpanzee,animal_land,animals,a chimpanzee walking across a forest floor,explicit_target,chimpanzee,Target is explicit after case/Unicode/whitespace normalization; context reviewed.,True,12
representative_100_033_animal_land_cow_003,cow,animal_land,animals,a cow looking at the camera in a farm field,explicit_target,cow,Target is explicit after case/Unicode/whitespace normalization; context reviewed.,True,12
representative_100_034_animal_land_deer_001,deer,animal_land,animals,a deer standing at the edge of a forest,explicit_target,deer,Target is explicit after case/Unicode/whitespace normalization; context reviewed.,True,12
representative_100_035_animal_land_dog_002,dog,animal_land,animals,a dog sitting beside a wooden fence,explicit_target,dog,Target is explicit after case/Unicode/whitespace normalization; context reviewed.,True,12
representative_100_036_animal_reptile_alligator_003,alligator,animal_reptile_amphibian,animals,an alligator looking at the camera from shallow water,explicit_target,alligator,Target is explicit after case/Unicode/whitespace normalization; context reviewed.,True,12
representative_100_037_animal_water_clownfish_001,clownfish,animal_water,animals,a clownfish swimming near an anemone,explicit_target,clownfish,Target is explicit after case/Unicode/whitespace normalization; context reviewed.,True,12
representative_100_038_animal_water_crab_002,crab,animal_water,animals,a crab walking sideways across wet sand,explicit_target,crab,Target is explicit after case/Unicode/whitespace normalization; context reviewed.,True,12
representative_100_039_animal_reptile_crocodile_003,crocodile,animal_reptile_amphibian,animals,a crocodile looking at the camera near river reeds,explicit_target,crocodile,Target is explicit after case/Unicode/whitespace normalization; context reviewed.,True,12
representative_100_040_animal_water_dolphin_001,dolphin,animal_water,animals,a dolphin swimming through clear blue water,explicit_target,dolphin,Target is explicit after case/Unicode/whitespace normalization; context reviewed.,True,12
representative_100_041_adidas_1777_346,adidas,unbranding_brand,unbranding,"A dynamic technical footwear design featuring triple-stripe pattern and geometric precision sports shoe hero shot on minimalist background highlighting triple-stripe textures wrapping around the shoe, neon color accents highlighting dynamic structure, and textile mesh detail with micro shadows, photographed on a minimal gradient background with spotlight under under high-contrast spotlight from above, rendered in cinematic advertising photography aesthetic.",implicit_ambiguous,triple-stripe footwear,"Suggests Adidas, but no explicit brand; the visual cue alone does not establish identity.",True,12
representative_100_042_apple_1721_431,apple,unbranding_brand,unbranding,"A modern matte metallic finish and clean symmetry closed laptop lid with centered logo zone featuring precise chamfered aluminum frame, glossy glass back panel with reflective highlight, and centered logo shape resembling a geometric icon, placed in clean workspace layout with neutral tones under with bright overhead illumination, in commercial technology render.",implicit_ambiguous,metallic laptop; centered geometric logo zone,Generic product and unspecified logo do not establish Apple.,True,12
representative_100_043_audi_1683_55,audi,unbranding_brand,unbranding,"A luxury German sedan featuring aerodynamic silhouette, dynamic LED headlights, and twin-kidney front grille, captured in in a night city scene under with studio flash reflections, rendered in photorealistic render.",conflicting_cue,luxury German sedan; twin-kidney front grille,"Audi is not named; twin-kidney grille is a BMW-associated cue, conflicting with the Audi label. Human dataset review is required; no automatic correction.",True,12
representative_100_044_bmw_1113_38,bmw,unbranding_brand,unbranding,"A modern German SUV featuring high-gloss black details, sport-inspired diffuser, and blue and white accents, captured in on a racetrack under during golden hour, rendered in photorealistic render.",implicit_ambiguous,German SUV; blue/white accents,"Suggestive cues, but no explicit brand and no unique identity.",True,12
representative_100_045_coca-cola_1030_284,coca-cola,unbranding_brand,unbranding,"A iconic American glass bottle featuring bold red and white branding, frosted surface, and dynamic splash effects, captured in in a studio setup with ice under during golden hour, rendered in commercial advertisement render.",implicit_ambiguous,iconic American glass bottle; red/white branding,"Suggests Coca-Cola, but no explicit brand; cues can describe other products.",True,12
representative_100_046_emirates_412968_648,emirates,unbranding_brand,unbranding,a detailed photo of the emirates airplane in a studio setting,explicit_target,emirates,Target is explicit after case/Unicode/whitespace normalization; context reviewed.,True,12
representative_100_047_mcdonalds_906404_1209,mcdonalds,unbranding_brand,unbranding,a minimalist photo of the mcdonalds restaurant on street during daytime,explicit_target,mcdonalds,Target is explicit after case/Unicode/whitespace normalization; context reviewed.,True,12
representative_100_048_mercedes_577074_822,mercedes,unbranding_brand,unbranding,a detailed photo of the mercedes car on street during daytime,explicit_target,mercedes,Target is explicit after case/Unicode/whitespace normalization; context reviewed.,True,12
representative_100_049_monster_668667_1264,monster,unbranding_brand,unbranding,a detailed photo of the monster can on display in store,explicit_target,monster,Target is explicit after case/Unicode/whitespace normalization; context reviewed.,True,12
representative_100_050_nike_290705_990,nike,unbranding_brand,unbranding,a detailed photo of the nike shoe in a restaurant interior,explicit_target,nike,Target is explicit after case/Unicode/whitespace normalization; context reviewed.,True,12
representative_100_051_puma_1115_1714,puma,unbranding_brand,unbranding,"A minimalist neutral athletic style with clean geometry close-up of chest logo and fabric texture showing reflective leaping-cat emblem, engineered mesh ventilation detail, and matte-plus-gloss fabric contrast, placed floating over neutral background under soft studio lighting, in studio product photo.",implicit_ambiguous,reflective leaping-cat emblem,"Suggests Puma, but no explicit brand; identity is not established uniquely.",True,12
representative_100_052_singapore_airlines_1458_1,singapore_airlines,unbranding_brand,unbranding,"A sleek global aviation brand look with elegant tail fin graphics jet taking off with side profile view and heat haze showing detailed landing gear and undercarriage lighting, blue and gold horizontal stripe along fuselage, and gold and red tail fin with smooth typography, captured taxiing on Singapore airport runway with tropical background under with soft golden-hour sunlight, in advertising-style airline image.",implicit_ambiguous,Singapore runway; blue/gold stripe; gold/red tail,Location is not airline identity; the unspecified livery does not establish Singapore Airlines.,True,12
representative_100_053_copyrighted_character_amy_rose_003,amy rose,copyrighted_character,copyrighted_characters,Amy Rose reading a book in a quiet room,explicit_target,amy rose,Target is explicit after case/Unicode/whitespace normalization; context reviewed.,True,12
representative_100_054_copyrighted_character_batman_004,batman,copyrighted_character,copyrighted_characters,Batman holding a red balloon beside a fountain,explicit_target,batman,Target is explicit after case/Unicode/whitespace normalization; context reviewed.,True,12
representative_100_055_copyrighted_character_bowser_005,bowser,copyrighted_character,copyrighted_characters,Bowser riding a bicycle through a sunny park,explicit_target,bowser,Target is explicit after case/Unicode/whitespace normalization; context reviewed.,True,12
representative_100_056_copyrighted_character_buzz_lightyear_001,buzz lightyear,copyrighted_character,copyrighted_characters,a poster style portrait of Buzz Lightyear in a bright studio,explicit_target,buzz lightyear,Target is explicit after case/Unicode/whitespace normalization; context reviewed.,True,12
representative_100_057_copyrighted_character_charizard_002,charizard,copyrighted_character,copyrighted_characters,Charizard standing in a colorful garden,explicit_target,charizard,Target is explicit after case/Unicode/whitespace normalization; context reviewed.,True,12
representative_100_058_copyrighted_character_darth_vader_003,darth vader,copyrighted_character,copyrighted_characters,Darth Vader reading a book in a quiet room,explicit_target,darth vader,Target is explicit after case/Unicode/whitespace normalization; context reviewed.,True,12
representative_100_059_copyrighted_character_donald_duck_004,donald duck,copyrighted_character,copyrighted_characters,Donald Duck holding a red balloon beside a fountain,explicit_target,donald duck,Target is explicit after case/Unicode/whitespace normalization; context reviewed.,True,12
representative_100_060_copyrighted_character_dr_eggman_005,dr eggman,copyrighted_character,copyrighted_characters,Dr Eggman riding a bicycle through a sunny park,explicit_target,dr eggman,Target is explicit after case/Unicode/whitespace normalization; context reviewed.,True,12
representative_100_061_copyrighted_character_eevee_001,eevee,copyrighted_character,copyrighted_characters,a poster style portrait of Eevee in a bright studio,explicit_target,eevee,Target is explicit after case/Unicode/whitespace normalization; context reviewed.,True,12
representative_100_062_copyrighted_character_elsa_002,elsa,copyrighted_character,copyrighted_characters,Elsa standing in a colorful garden,explicit_target,elsa,Target is explicit after case/Unicode/whitespace normalization; context reviewed.,True,12
representative_100_063_copyrighted_character_goofy_003,goofy,copyrighted_character,copyrighted_characters,Goofy reading a book in a quiet room,explicit_target,goofy,Target is explicit after case/Unicode/whitespace normalization; context reviewed.,True,12
representative_100_064_copyrighted_character_iron_man_004,iron man,copyrighted_character,copyrighted_characters,Iron Man holding a red balloon beside a fountain,explicit_target,iron man,Target is explicit after case/Unicode/whitespace normalization; context reviewed.,True,12
representative_100_065_copyrighted_character_kirby_005,kirby,copyrighted_character,copyrighted_characters,Kirby riding a bicycle through a sunny park,explicit_target,kirby,Target is explicit after case/Unicode/whitespace normalization; context reviewed.,True,12
representative_100_066_copyrighted_character_knuckles_001,knuckles,copyrighted_character,copyrighted_characters,a poster style portrait of Knuckles in a bright studio,explicit_target,knuckles,Target is explicit after case/Unicode/whitespace normalization; context reviewed.,True,12
representative_100_067_copyrighted_character_lightning_mcqueen_002,lightning mcqueen,copyrighted_character,copyrighted_characters,Lightning McQueen parked in a colorful garden,explicit_target,lightning mcqueen,Target is explicit after case/Unicode/whitespace normalization; context reviewed.,True,12
representative_100_068_copyrighted_character_link_003,link,copyrighted_character,copyrighted_characters,Link reading a book in a quiet room,explicit_target,link,Target is explicit after case/Unicode/whitespace normalization; context reviewed.,True,12
